iter	Passed	Remaining
0	20	20800
1	26	13231
2	30	10228
3	35	8952
4	40	8151
5	45	7607
6	50	7193
7	55	6872
8	59	6604
9	65	6507
10	69	6276
11	74	6146
12	80	6083
13	84	5959
14	88	5831
15	95	5856
16	100	5818
17	104	5715
18	110	5709
19	115	5662
20	120	5597
21	125	5562
22	129	5490
23	133	5446
24	138	5418
25	144	5420
26	149	5387
27	154	5370
28	159	5352
29	164	5330
30	170	5331
31	175	5300
32	179	5261
33	184	5246
34	189	5215
35	193	5178
36	199	5185
37	203	5150
38	207	5109
39	211	5080
40	216	5073
41	222	5065
42	225	5023
43	231	5019
44	235	5002
45	239	4973
46	245	4972
47	250	4966
48	254	4943
49	259	4924
50	263	4906
51	267	4883
52	272	4860
53	277	4853
54	281	4829
55	284	4790
56	288	4776
57	293	4760
58	297	4752
59	302	4732
60	306	4718
61	311	4716
62	318	4736
63	326	4774
64	332	4778
65	338	4790
66	344	4791
67	348	4779
68	354	4786
69	359	4781
70	365	4778
71	370	4773
72	375	4771
73	381	4776
74	386	4769
75	392	4771
76	398	4771
77	402	4762
78	408	4763
79	415	4774
80	421	4779
81	426	4777
82	431	4770
83	436	4760
84	442	4760
85	448	4767
86	458	4813
87	469	4861
88	478	4898
89	486	4920
90	495	4951
91	505	4992
92	512	4994
93	518	4996
94	525	5003
95	530	4992
96	537	5000
97	543	5002
98	550	5010
99	558	5023
100	567	5048
101	572	5035
102	577	5033
103	584	5035
104	590	5036
105	597	5043
106	604	5046
107	612	5054
108	618	5055
109	625	5057
110	632	5067
111	637	5055
112	641	5034
113	645	5018
114	651	5016
115	659	5026
116	664	5017
117	669	5005
118	673	4986
119	678	4975
120	681	4952
121	685	4934
122	690	4923
123	693	4901
124	698	4889
125	702	4875
126	706	4858
127	711	4849
128	724	4891
129	727	4870
130	732	4860
131	737	4849
132	741	4832
133	746	4824
134	751	4814
135	755	4797
136	760	4791
137	765	4781
138	769	4767
139	774	4757
140	779	4751
141	783	4735
142	787	4720
143	792	4713
144	796	4695
145	801	4686
146	807	4682
147	812	4675
148	815	4658
149	820	4646
150	823	4630
151	827	4618
152	832	4609
153	836	4593
154	841	4585
155	846	4577
156	849	4560
157	854	4554
158	860	4551
159	864	4538
160	868	4524
161	873	4517
162	877	4505
163	882	4496
164	886	4488
165	890	4472
166	895	4466
167	900	4459
168	904	4446
169	908	4437
170	913	4429
171	917	4416
172	921	4406
173	926	4397
174	929	4383
175	935	4379
176	939	4368
177	943	4357
178	948	4352
179	953	4342
180	957	4330
181	961	4321
182	965	4309
183	969	4300
184	974	4292
185	978	4281
186	982	4272
187	987	4265
188	990	4252
189	996	4250
190	1002	4247
191	1008	4245
192	1012	4234
193	1017	4225
194	1022	4219
195	1027	4214
196	1031	4204
197	1036	4197
198	1041	4193
199	1046	4184
200	1051	4179
201	1056	4175
202	1061	4168
203	1066	4162
204	1072	4158
205	1077	4153
206	1082	4148
207	1087	4142
208	1091	4132
209	1098	4130
210	1103	4126
211	1107	4117
212	1111	4108
213	1118	4107
214	1123	4100
215	1126	4089
216	1131	4082
217	1136	4076
218	1139	4064
219	1145	4059
220	1150	4056
221	1154	4044
222	1157	4034
223	1162	4026
224	1165	4015
225	1170	4008
226	1173	3997
227	1178	3991
228	1183	3985
229	1187	3976
230	1194	3975
231	1201	3977
232	1206	3971
233	1212	3968
234	1218	3965
235	1223	3962
236	1228	3955
237	1233	3947
238	1238	3943
239	1243	3938
240	1247	3928
241	1255	3931
242	1260	3927
243	1266	3923
244	1271	3918
245	1277	3915
246	1282	3911
247	1292	3918
248	1299	3918
249	1302	3908
250	1308	3904
251	1314	3902
252	1319	3895
253	1323	3886
254	1326	3875
255	1330	3866
256	1334	3858
257	1338	3849
258	1341	3838
259	1345	3830
260	1349	3820
261	1353	3811
262	1357	3803
263	1361	3794
264	1365	3786
265	1368	3776
266	1372	3769
267	1376	3759
268	1380	3751
269	1384	3741
270	1387	3732
271	1391	3723
272	1394	3713
273	1398	3705
274	1401	3695
275	1406	3688
276	1409	3678
277	1413	3671
278	1419	3667
279	1423	3660
280	1427	3653
281	1431	3644
282	1435	3636
283	1439	3630
284	1443	3621
285	1447	3614
286	1451	3606
287	1456	3599
288	1460	3593
289	1464	3584
290	1468	3578
291	1472	3570
292	1476	3561
293	1480	3555
294	1484	3548
295	1489	3542
296	1493	3535
297	1497	3527
298	1501	3520
299	1505	3511
300	1508	3503
301	1512	3494
302	1516	3489
303	1521	3482
304	1524	3474
305	1529	3468
306	1532	3460
307	1536	3451
308	1539	3443
309	1543	3435
310	1548	3429
311	1551	3420
312	1555	3414
313	1559	3406
314	1563	3400
315	1567	3392
316	1570	3383
317	1574	3377
318	1578	3369
319	1582	3362
320	1585	3354
321	1589	3347
322	1594	3341
323	1597	3333
324	1602	3327
325	1605	3319
326	1609	3313
327	1613	3305
328	1617	3298
329	1620	3290
330	1626	3287
331	1631	3283
332	1636	3277
333	1641	3272
334	1645	3265
335	1649	3259
336	1653	3253
337	1657	3246
338	1661	3239
339	1665	3233
340	1670	3228
341	1674	3221
342	1679	3216
343	1685	3213
344	1689	3208
345	1694	3203
346	1703	3204
347	1707	3199
348	1714	3197
349	1720	3194
350	1726	3191
351	1732	3189
352	1739	3188
353	1746	3187
354	1752	3184
355	1758	3180
356	1762	3174
357	1767	3169
358	1773	3166
359	1780	3164
360	1786	3163
361	1794	3162
362	1800	3158
363	1807	3157
364	1813	3155
365	1821	3154
366	1826	3150
367	1830	3143
368	1836	3139
369	1847	3145
370	1855	3145
371	1862	3143
372	1867	3140
373	1873	3136
374	1879	3133
375	1886	3131
376	1891	3125
377	1896	3121
378	1903	3119
379	1909	3116
380	1917	3115
381	1923	3111
382	1930	3109
383	1936	3106
384	1943	3104
385	1949	3100
386	1953	3094
387	1959	3090
388	1965	3087
389	1970	3082
390	1976	3078
391	1980	3072
392	1986	3067
393	1993	3065
394	1998	3061
395	2003	3055
396	2007	3049
397	2014	3046
398	2021	3045
399	2028	3042
400	2036	3042
401	2040	3036
402	2046	3032
403	2052	3027
404	2055	3020
405	2060	3014
406	2066	3011
407	2071	3006
408	2074	2998
409	2080	2993
410	2085	2988
411	2088	2981
412	2093	2975
413	2099	2972
414	2104	2967
415	2108	2960
416	2114	2956
417	2120	2952
418	2127	2949
419	2133	2945
420	2138	2941
421	2143	2936
422	2148	2930
423	2154	2926
424	2160	2923
425	2166	2918
426	2172	2914
427	2176	2908
428	2181	2903
429	2187	2900
430	2193	2895
431	2199	2892
432	2215	2900
433	2221	2897
434	2225	2890
435	2228	2882
436	2231	2874
437	2234	2867
438	2237	2859
439	2241	2852
440	2244	2844
441	2247	2837
442	2250	2830
443	2253	2822
444	2256	2814
445	2259	2807
446	2262	2799
447	2265	2792
448	2269	2784
449	2273	2778
450	2276	2771
451	2279	2763
452	2282	2756
453	2288	2752
454	2292	2746
455	2295	2738
456	2299	2731
457	2302	2725
458	2306	2718
459	2309	2711
460	2313	2704
461	2316	2697
462	2319	2690
463	2322	2683
464	2326	2676
465	2329	2669
466	2332	2662
467	2336	2655
468	2339	2648
469	2343	2643
470	2349	2639
471	2353	2633
472	2358	2628
473	2364	2623
474	2367	2616
475	2372	2611
476	2377	2606
477	2380	2599
478	2385	2594
479	2388	2587
480	2393	2582
481	2397	2576
482	2400	2569
483	2406	2565
484	2410	2559
485	2414	2553
486	2418	2547
487	2422	2541
488	2428	2537
489	2432	2532
490	2436	2525
491	2440	2519
492	2444	2513
493	2447	2507
494	2450	2500
495	2455	2495
496	2459	2489
497	2462	2482
498	2466	2475
499	2469	2469
500	2473	2463
501	2476	2456
502	2481	2452
503	2487	2447
504	2492	2443
505	2496	2437
506	2501	2432
507	2505	2426
508	2509	2421
509	2519	2420
510	2526	2417
511	2530	2412
512	2535	2407
513	2540	2402
514	2545	2397
515	2550	2392
516	2555	2387
517	2560	2382
518	2564	2376
519	2569	2371
520	2574	2366
521	2579	2361
522	2584	2357
523	2589	2352
524	2596	2349
525	2602	2345
526	2609	2342
527	2614	2337
528	2618	2331
529	2624	2327
530	2629	2322
531	2634	2317
532	2638	2311
533	2643	2306
534	2647	2301
535	2652	2296
536	2657	2291
537	2663	2286
538	2668	2282
539	2672	2276
540	2677	2271
541	2682	2267
542	2688	2262
543	2693	2257
544	2697	2252
545	2703	2247
546	2708	2242
547	2711	2236
548	2717	2232
549	2722	2227
550	2727	2222
551	2731	2217
552	2737	2212
553	2742	2207
554	2746	2201
555	2751	2196
556	2756	2191
557	2760	2186
558	2764	2181
559	2770	2176
560	2774	2171
561	2779	2166
562	2784	2161
563	2789	2156
564	2793	2150
565	2798	2145
566	2803	2140
567	2807	2135
568	2812	2130
569	2818	2126
570	2824	2122
571	2830	2117
572	2833	2111
573	2839	2107
574	2844	2102
575	2849	2097
576	2853	2091
577	2857	2086
578	2862	2081
579	2866	2075
580	2871	2070
581	2875	2065
582	2879	2059
583	2884	2054
584	2888	2049
585	2892	2043
586	2897	2038
587	2901	2033
588	2905	2027
589	2910	2022
590	2913	2016
591	2919	2011
592	2925	2007
593	2931	2003
594	2936	1998
